user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime,Tag
747688,74805,True,0,4,0,0,1,4,0,0,1,0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,70.0,0,0,True
760359,74805,True,0,9,0,0,1,13,0,0,1,0,0,7,0.0,0.0,3,0.0,0,0,4,0,0,0,629.0,0.0,0.0,876723.0,0.0,0.0,413.0,757.0,0,0,True
1059030,74805,True,0,20,0,0,2,25,0,0,2,1,257227.0,15,0.0,0.0,2,0.0,0,0,5,0,0,0,1593.0,0.0,0.0,1593.0,0.0,0.0,1012.0,1108.0,252.0,252.0,True
270297,74805,True,0,11,0,1,1,14,0,1,1,0,0,8,0.0,1.0,3,0.0,0,0,3,0,0,0,68509.0,0.0,68000.0,193926.0,0.0,68000.0,625.0,1105.0,0,0,True
217088,74805,True,0,71,0,4,1,146,0,6,2,0,0,53,0.0,3.0,7,0.0,1,0,24,0,1,0,573727.0,0.0,573728.0,573789.0,0.0,573728.0,2323.0,3219.0,0,0,True
877434,74805,True,0,26,1,0,1,82,4,0,1,0,0,24,1.0,0.0,11,2.0,0,0,53,3,0,0,52322.0,3112.0,0.0,572016.0,159264.0,0.0,683.0,2016.0,0,0,True
1052163,74805,True,0,2,0,0,1,5,0,1,1,0,0,1,0.0,0.0,1,0.0,1,0,3,0,1,0,172.0,0.0,0.0,306.0,0.0,223.0,110.0,306.0,0,0,True
207654,74805,True,0,21,0,0,1,21,0,0,1,0,0,14,0.0,0.0,0,0.0,0,0,0,0,0,0,25647.0,0.0,0.0,25647.0,0.0,0.0,679.0,679.0,0,0,True
740470,74805,True,0,3,0,0,1,5,0,0,1,0,0,1,0.0,0.0,1,0.0,0,0,1,0,0,0,13.0,0.0,0.0,35.0,0.0,0.0,13.0,35.0,0,0,True
182113,74805,True,0,11,1,0,1,19,1,0,1,0,0,8,1.0,0.0,4,0.0,0,0,7,0,0,0,656.0,100.0,0.0,673.0,100.0,0.0,221.0,369.0,0,0,UnKnown
396081,74805,True,0,6,0,0,1,6,0,0,1,0,0,5,0.0,0.0,0,0.0,0,0,0,0,0,0,275.0,0.0,0.0,275.0,0.0,0.0,275.0,275.0,0,0,True
653252,74805,True,0,4,0,0,1,4,0,0,1,0,0,4,0.0,0.0,0,0.0,0,0,0,0,0,0,57116.0,0.0,0.0,57116.0,0.0,0.0,85.0,85.0,0,0,True
735216,74805,True,0,13,0,0,1,33,0,1,1,0,0,12,0.0,0.0,6,0.0,1,0,20,0,1,0,670.0,0.0,0.0,1002434.0,0.0,1002389.0,445.0,1255.0,0,0,True
869970,74805,True,0,4,0,1,1,5,0,1,1,0,0,2,0.0,1.0,0,0.0,0,0,0,0,0,0,69152.0,0.0,69132.0,69152.0,0.0,69132.0,44.0,44.0,0,0,True
243025,74805,True,0,13,1,2,1,21,2,2,1,0,0,11,1.0,2.0,4,1.0,0,0,8,1,0,0,163047.0,163007.0,162906.0,163213.0,163159.0,162906.0,494.0,744.0,0,0,True
1052472,74805,True,0,41,1,1,1,119,4,3,4,0,0,34,1.0,1.0,5,2.0,1,1,44,3,1,1,2785.0,2786.0,702.0,9378.0,3311.0,3039.0,1322.0,3066.0,0,0,UnKnown
822251,74805,True,0,5,0,0,1,5,0,0,1,0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,0,192.0,0.0,0.0,192.0,0.0,0.0,192.0,192.0,0,0,True
1096772,74805,True,0,11,0,0,1,13,0,0,1,0,0,9,0.0,0.0,2,0.0,0,0,2,0,0,0,214864.0,0.0,0.0,214864.0,0.0,0.0,322.0,408.0,0,0,True
47389,74805,True,0,5,0,0,1,5,0,0,1,0,0,2,0.0,0.0,0,0.0,0,0,0,0,0,0,89.0,0.0,0.0,89.0,0.0,0.0,89.0,89.0,0,0,True
791245,74805,True,0,28,0,1,1,30,0,1,1,0,0,27,0.0,1.0,2,0.0,0,0,2,0,0,0,319434.0,0.0,318868.0,319434.0,0.0,318868.0,889.0,900.0,0,0,True
893854,74805,True,0,8,0,1,2,15,1,1,2,1,49242.0,2,0.0,0.0,2,1.0,0,0,5,1,0,0,2116.0,0.0,-522.0,80625.0,80597.0,-522.0,31.0,163.0,557.0,609.0,True
993856,74805,True,0,5,0,0,1,11,0,0,1,0,0,4,0.0,0.0,1,0.0,0,0,6,0,0,0,77.0,0.0,0.0,238322.0,0.0,0.0,77.0,135.0,0,0,True
465164,74805,True,0,7,0,0,1,7,0,0,1,0,0,1,0.0,0.0,0,0.0,0,0,0,0,0,0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,32.0,0,0,True
856234,74805,True,0,21,0,0,1,47,0,0,1,0,0,12,0.0,0.0,8,0.0,0,0,26,0,0,0,106820.0,0.0,0.0,481870.0,0.0,0.0,688.0,2746.0,0,0,True
863425,74805,True,0,14,0,0,2,22,0,1,2,1,105.0,13,0.0,0.0,5,0.0,0,0,8,0,0,0,877.0,0.0,0.0,1069.0,0.0,-412372.0,739.0,1069.0,98.0,98.0,True
