user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime,Tag
906769,320069,True,0,46,0,10,1,63,0,10,1,0,0,46,0.0,10.0,8,0.0,0,0,17,0,0,0,152221.0,0.0,152136.0,949519.0,0.0,152136.0,1378.0,1763.0,0,0,True
237987,320069,True,0,3,0,0,1,3,0,0,1,0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,0,262.0,0.0,0.0,262.0,0.0,0.0,262.0,262.0,0,0,True
210575,320069,True,0,10,3,0,1,15,5,0,1,0,0,7,3.0,0.0,0,0.0,0,0,0,0,0,0,47398.0,47391.0,0.0,47398.0,47391.0,0.0,171.0,171.0,0,0,True
327047,320069,True,0,11,0,2,1,21,0,3,1,0,0,7,0.0,2.0,3,0.0,1,0,6,0,1,0,169018.0,0.0,168907.0,171337.0,0.0,171339.0,338.0,389.0,0,0,True
64546,320069,True,0,7,0,2,1,7,0,2,1,0,0,7,0.0,2.0,0,0.0,0,0,0,0,0,0,168703.0,0.0,168710.0,168703.0,0.0,168710.0,267.0,267.0,0,0,True
656612,320069,True,0,6,0,0,1,19,0,3,2,0,0,6,0.0,0.0,4,0.0,3,1,13,0,3,1,1594.0,0.0,0.0,81373.0,0.0,81325.0,188.0,667.0,0,0,True
32218,320069,True,0,12,0,2,1,27,0,2,1,0,0,6,0.0,2.0,1,0.0,0,0,1,0,0,0,85827.0,0.0,18350.0,85827.0,0.0,18350.0,105.0,105.0,0,0,True
773557,320069,True,0,19,0,1,1,28,0,1,1,0,0,18,0.0,1.0,4,0.0,0,0,9,0,0,0,1292783.0,0.0,525442.0,1292783.0,0.0,525442.0,669.0,1012.0,0,0,True
1036685,320069,True,0,59,0,2,1,94,0,2,1,0,0,57,0.0,2.0,12,0.0,0,0,29,0,0,0,59339.0,0.0,58928.0,60716.0,0.0,58928.0,1733.0,2770.0,0,0,True
313960,320069,True,0,11,0,0,1,22,0,1,1,0,0,11,0.0,0.0,8,0.0,1,0,10,0,1,0,846189.0,0.0,0.0,846218.0,0.0,782120.0,448.0,743.0,0,0,True
506733,320069,True,0,24,0,1,1,213,1,16,1,0,0,22,0.0,1.0,31,1.0,6,0,92,1,8,0,339727.0,0.0,82026.0,424466.0,271776.0,338334.0,634.0,3918.0,0,0,True
888301,320069,True,0,5,0,0,1,23,0,5,3,0,0,1,0.0,0.0,1,0.0,0,0,1,0,0,0,4823.0,0.0,0.0,4823.0,0.0,-933769.0,0.0,0.0,0,0,True
723850,320069,True,0,6,0,0,1,8,1,0,1,0,0,6,0.0,0.0,2,1.0,0,0,2,1,0,0,402.0,0.0,0.0,856768.0,856764.0,0.0,274.0,406.0,0,0,True
513890,320069,True,0,12,0,0,1,19,0,0,1,0,0,10,0.0,0.0,2,0.0,0,0,5,0,0,0,101843.0,0.0,0.0,768455.0,0.0,0.0,605.0,1078.0,0,0,True
514810,320069,True,0,18,0,1,1,40,0,1,4,0,0,6,0.0,1.0,2,0.0,0,0,11,0,0,0,72252.0,0.0,72229.0,103042.0,0.0,72229.0,331.0,462.0,0,0,True
504694,320069,True,0,17,0,1,1,64,0,2,4,0,0,15,0.0,1.0,2,0.0,1,1,38,0,1,1,2393.0,0.0,2151.0,3225.0,0.0,2482.0,501.0,2268.0,0,0,UnKnown
986071,320069,True,0,11,0,3,1,22,0,3,1,0,0,2,0.0,0.0,3,0.0,0,0,5,0,0,0,512.0,0.0,-28671.0,122464.0,0.0,-28671.0,26.0,104.0,0,0,True
425074,320069,True,0,36,0,2,4,82,0,2,9,3,164061.0,14,0.0,2.0,3,0.0,0,1,7,0,0,1,353148.0,0.0,74420.0,353148.0,0.0,74420.0,147.0,538.0,229.33333333333334,777.3333333333334,True
