brand,brand_TransNum,brand_PvUser,brand_FavUser,brand_CartUser,brand_BuyUser,brand_PvNum,brand_FavNum,brand_CartNum,brand_BuyNum,brand_ViewPvUser,brand_ViewFavUser,brand_ViewCartUser,brand_ReBuyUser,brand_ReBuyNum,brand_ReBuyUserRate,brand_ReBuyNumRate,brand_AverageReBuyTimeGap,brand_PvToBuyRate,brand_FavToBuyRate,brand_CartToBuyRate,brand_AverageTimesFromPvToBuy,brand_AverageTimesFromFavToBuy,brand_AverageTimesFromCartToBuy,brand_AverageOtherNumFromPvToBuy,brand_AverageOtherNumFromFavToBuy,brand_AverageOtherNumFromCartToBuy,brand_AverageOtherNumFromBuyToBuy,brand_AverageOtherTimesFromPvToBuy,brand_AverageOtherTimesFromFavToBuy,brand_AverageOtherTimesFromCartToBuy,brand_AverageOtherTimesFromBuyToBuy,brand_AveragePvToBuyTime,brand_AverageFavToBuyTime,brand_AverageCartToBuyTime,brand_CateAveragePvToBuyTime,brand_CateAverageFavToBuyTime,brand_CateAverageCartToBuyTime,brand_AverageBrandViewTime,brand_AverageCateViewTime,brand_FraudUserNum,brand_FraudBuyNum,brand_FraudUserRate,brand_FraudNumRate,brand_AverageReBuyBrandViewTime,brand_AverageReBuyCateViewTime
381456,268,264,18,16,22,646,19,18,23,242,13,11,1,1,0.045454545454545456,1.0,393.0,0.08333333333333333,1.2222222222222223,1.375,5.545454545454546,0.22727272727272727,0.22727272727272727,3.727272727272727,0.09090909090909091,0.2727272727272727,0.045454545454545456,9.227272727272727,0.09090909090909091,0.2727272727272727,0.045454545454545456,13704.136363636364,3290.590909090909,78.18181818181819,65655.90909090909,4691.636363636364,385.95454545454544,251.9090909090909,631.5909090909091,0,0,0,0,270.0,270.0
450926,76,76,2,3,1,110,2,3,1,75,1,3,0,0,0,0,0,0.013157894736842105,0.5,0.3333333333333333,10.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,363478.0,351051.0,0.0,381737.0,351051.0,0.0,120.0,143.0,0,0,0,0,0,0
130427,276,270,13,29,60,906,13,30,62,210,11,18,3,3,0.05,1.0,759.0,0.2222222222222222,4.615384615384615,2.0689655172413794,3.816666666666667,0.016666666666666666,0.16666666666666666,1.15,0.05,0.03333333333333333,0.0,2.5166666666666666,0.05,0.03333333333333333,0.0,14804.6,4.85,1984.6833333333334,24223.083333333332,23.9,1987.35,128.08333333333334,226.26666666666668,4,3,0.014285714285714285,0.75,276.0,428.3333333333333
96859,172,168,12,12,8,398,14,15,8,160,10,12,0,0,0,0,0,0.047619047619047616,0.6666666666666666,0.6666666666666666,2.875,0.25,0.0,2.625,0.125,0.0,0.25,10.125,0.125,0.0,0.375,2724.375,33.375,0.0,42754.75,707.625,0.0,126.625,503.25,2,2,0.011494252873563218,1.0,0,0
177078,134,134,0,4,1,277,0,4,1,133,0,3,0,0,0,0,0,0.007462686567164179,0,0.25,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42425.0,0.0,41930.0,42425.0,0.0,41930.0,717.0,717.0,0,0,0,0,0,0
400399,472,470,11,12,12,1040,13,13,12,458,9,11,0,0,0,0,0,0.02553191489361702,1.0909090909090908,1.0,10.25,0.16666666666666666,0.08333333333333333,1.3333333333333333,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,240992.66666666666,30483.416666666668,21921.166666666668,241363.75,30483.416666666668,21921.166666666668,350.0833333333333,409.9166666666667,0,0,0,0,0,0
153164,119,117,6,5,6,315,9,6,6,111,5,4,0,0,0,0,0,0.05128205128205128,1.0,1.2,13.333333333333334,0.6666666666666666,0.16666666666666666,3.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,9.833333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,116052.5,253.66666666666666,110786.83333333333,118903.33333333333,262.6666666666667,115758.5,392.5,735.5,1,1,0.008333333333333333,1.0,0,0
87530,183,182,2,3,2,406,2,3,2,180,2,3,0,0,0,0,0,0.01098901098901099,1.0,0.6666666666666666,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9811.5,0.0,0.0,9811.5,0.0,0.0,648.0,648.0,0,0,0,0,0,0
49920,24,23,2,0,0,40,2,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425589,62,62,0,1,5,136,0,1,5,57,0,1,0,0,0,0,0,0.08064516129032258,0,5.0,2.4,0.0,0.0,0.6,0.0,0.0,0.2,2.6,0.0,0.0,0.2,10599.0,0.0,0.0,15768.8,0.0,-81076.6,162.2,249.4,0,0,0,0,0,0
