user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime,Tag
755018,381456,True,0,6,0,1,2,7,0,1,2,1,393.0,4,0.0,1.0,1,0.0,0,0,1,0,0,0,1465.0,0.0,1318.0,194697.0,0.0,1318.0,147.0,147.0,270.0,270.0,False
1122470,381456,True,0,24,1,1,1,117,2,1,1,0,0,14,1.0,1.0,20,1.0,0,0,81,1,0,0,11542.0,9529.0,72.0,749410.0,39397.0,72.0,906.0,3847.0,0,0,True
608782,381456,True,0,13,0,0,1,13,0,0,1,0,0,8,0.0,0.0,0,0.0,0,0,0,0,0,0,69441.0,0.0,0.0,69441.0,0.0,0.0,330.0,330.0,0,0,True
728327,381456,True,0,3,0,0,1,3,0,0,1,0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,0,275.0,0.0,0.0,275.0,0.0,0.0,275.0,275.0,0,0,True
1086463,381456,True,0,8,0,0,1,8,0,0,1,0,0,7,0.0,0.0,0,0.0,0,0,0,0,0,0,76823.0,0.0,0.0,76823.0,0.0,0.0,127.0,127.0,0,0,True
415816,381456,True,0,32,0,0,1,43,0,0,1,0,0,5,0.0,0.0,6,0.0,0,0,8,0,0,0,556.0,0.0,0.0,920.0,0.0,0.0,333.0,920.0,0,0,True
747820,381456,True,0,5,1,0,1,5,1,0,1,0,0,5,1.0,0.0,0,0.0,0,0,0,0,0,0,43113.0,42853.0,0.0,43113.0,42853.0,0.0,282.0,282.0,0,0,True
5122,381456,True,0,9,0,0,1,9,0,0,1,0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,0,258.0,0.0,0.0,258.0,0.0,0.0,258.0,258.0,0,0,True
306945,381456,True,0,6,0,1,1,12,0,2,1,0,0,4,0.0,1.0,4,0.0,1,0,6,0,1,0,243.0,0.0,164.0,546.0,0.0,305.0,243.0,546.0,0,0,UnKnown
688344,381456,True,0,11,0,0,1,45,0,1,1,0,0,11,0.0,0.0,17,0.0,1,0,34,0,1,0,983.0,0.0,0.0,1671.0,0.0,552.0,448.0,1671.0,0,0,True
839916,381456,True,0,2,0,0,1,2,0,0,1,0,0,2,0.0,0.0,0,0.0,0,0,0,0,0,0,1091.0,0.0,0.0,1091.0,0.0,0.0,11.0,11.0,0,0,True
154472,381456,True,0,7,0,1,1,7,0,1,1,0,0,4,0.0,1.0,0,0.0,0,0,0,0,0,0,76.0,0.0,4.0,76.0,0.0,4.0,76.0,76.0,0,0,False
223236,381456,True,0,5,1,0,1,11,1,0,1,0,0,2,1.0,0.0,1,0.0,0,0,1,0,0,0,61.0,11.0,0.0,61.0,11.0,0.0,50.0,61.0,0,0,UnKnown
779238,381456,True,0,8,0,1,1,30,0,5,1,0,0,5,0.0,1.0,8,0.0,3,0,19,0,3,0,201.0,0.0,162.0,60753.0,0.0,6046.0,201.0,1372.0,0,0,UnKnown
154283,381456,True,0,5,0,0,1,5,0,0,1,0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,0,307.0,0.0,0.0,307.0,0.0,0.0,307.0,307.0,0,0,True
84338,381456,True,0,14,0,0,1,27,0,0,1,0,0,13,0.0,0.0,5,0.0,0,0,6,0,0,0,3698.0,0.0,0.0,3698.0,0.0,0.0,242.0,422.0,0,0,True
238534,381456,True,0,3,0,0,1,3,0,0,1,0,0,2,0.0,0.0,0,0.0,0,0,0,0,0,0,109.0,0.0,0.0,109.0,0.0,0.0,109.0,109.0,0,0,True
331181,381456,True,0,10,0,0,1,58,1,0,1,0,0,9,0.0,0.0,9,1.0,0,0,28,1,0,0,70630.0,0.0,0.0,219600.0,955.0,0.0,285.0,1047.0,0,0,True
752183,381456,True,0,6,1,0,1,6,1,0,1,0,0,6,1.0,0.0,0,0.0,0,0,0,0,0,0,518.0,324.0,0.0,518.0,324.0,0.0,194.0,194.0,0,0,False
428442,381456,True,0,5,0,0,1,5,0,0,1,0,0,2,0.0,0.0,0,0.0,0,0,0,0,0,0,185.0,0.0,0.0,185.0,0.0,0.0,185.0,185.0,0,0,True
517669,381456,True,0,9,1,0,1,22,1,0,1,0,0,8,1.0,0.0,8,0.0,0,0,13,0,0,0,19741.0,19676.0,0.0,20146.0,19676.0,0.0,358.0,976.0,0,0,True
741081,381456,True,0,6,0,0,1,26,0,1,2,0,0,2,0.0,0.0,3,0.0,1,1,6,0,1,1,175.0,0.0,0.0,732.0,0.0,194.0,175.0,732.0,0,0,True
63993,450926,True,0,17,1,0,1,77,1,0,2,0,0,10,1.0,0.0,2,0.0,0,0,3,0,0,0,363478.0,351051.0,0.0,381737.0,351051.0,0.0,120.0,143.0,0,0,True
591234,130427,True,0,17,1,1,1,54,1,1,1,0,0,15,1.0,1.0,8,0.0,0,0,37,0,0,0,630.0,303.0,108.0,874.0,303.0,108.0,332.0,874.0,0,0,UnKnown
922504,130427,True,0,23,0,1,1,24,0,1,1,0,0,7,0.0,1.0,1,0.0,0,0,1,0,0,0,188.0,0.0,158.0,188.0,0.0,158.0,138.0,188.0,0,0,UnKnown
832360,130427,True,0,3,0,0,1,23,0,0,2,0,0,1,0.0,0.0,10,0.0,0,0,16,0,0,0,62.0,0.0,0.0,1531.0,0.0,0.0,32.0,1189.0,0,0,True
1038454,130427,True,0,10,0,0,1,10,0,0,1,0,0,1,0.0,0.0,0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,True
