user,time,brand
774357,1493768121,203877
255807,1493821151,199067
306965,1493807645,140230
595075,1493806843,140230
68639,1493781608,40573
904632,1493815360,147875
987639,1493785507,38507
560244,1493780528,86309
1079212,1493825959,177390
913974,1493779530,147875
459220,1493794960,69567
492641,1493781502,69567
397889,1493819043,76463
219206,1493804490,250078
1085617,1493793928,88573
750875,1493753431,22427
899329,1493785315,391086
738009,1493808637,392999
141776,1493794144,147875
537602,1493817474,337365
508658,1493826728,147875
256794,1493818528,9678
131942,1493796517,69567
237987,1493821647,76463
943496,1493784001,357017
518267,1493784652,189675
429738,1493818896,189675
929729,1493807792,301640
873382,1493780253,76463
1086988,1493788286,391086
920623,1493822742,224482
760017,1493743636,224482
15271,1494046865,199067
15271,1494047146,199067
218804,1494046142,76463
364349,1494062838,76463
1139809,1494056688,254879
262626,1494052729,250070
306305,1494059909,78649
247868,1493540954,76463
68933,1493524537,69567
164355,1493541696,69567
217401,1493558476,69567
26630,1493518870,439318
26630,1493518740,439318
194748,1493606782,250078
770323,1493638156,190719
444812,1493629943,459762
526003,1493612811,140230
179284,1493641230,404717
786560,1493614093,404717
923135,1493619534,404717
17740,1493636340,404717
345727,1493600366,250078
801965,1493647283,275876
801965,1493647261,275876
421934,1493647225,275876
421934,1493647159,275876
390713,1493615961,7290
435417,1493615316,343886
402824,1493624107,343886
402824,1493624318,343886
650400,1493603640,250078
379442,1493570007,428770
4969,1493615340,201798
918775,1493624826,76463
1085087,1493580421,459762
1038320,1493606553,254879
262271,1493641664,254879
711456,1493629093,76463
52682,1493600384,127716
296507,1493626987,83963
723179,1493654154,76463
3696,1493650689,455167
806794,1493597950,147875
257306,1493607731,224482
390160,1493593187,224482
852957,1493609897,224482
368945,1493605785,224482
1046656,1493653086,224482
30844,1493620592,343886
194748,1493606782,250078
19290,1494084711,254879
395780,1494035700,250078
697154,1494051720,250078
528102,1494060472,250078
811968,1494032211,439318
528467,1494072416,439318
300829,1494036781,439318
863089,1494054383,439318
226406,1494079597,439318
174030,1494073084,439318
135314,1494059103,78649
228061,1494055184,78649
976408,1494074543,78649
37213,1494049278,189675
570852,1494073380,189675
562952,1494051457,189675
522529,1494065343,189675
355675,1494073366,86309
1059482,1494053009,199067
986365,1494058972,24552
182810,1493543631,22395
29837,1493562275,133429
29837,1493562233,133429
878709,1493544755,301640
446621,1493560220,135086
178546,1493531901,135086
175085,1493518936,459762
1082088,1493559072,250070
1009666,1493549546,175221
262747,1493482726,199067
834042,1493562413,199067
974379,1493485262,404717
648626,1493517514,404717
1018316,1493515193,404717
347747,1493559052,404717
722542,1493556309,404717
451683,1493551311,404717
623898,1493548521,404717
