brand,brand_TransNum,brand_PvUser,brand_FavUser,brand_CartUser,brand_BuyUser,brand_PvNum,brand_FavNum,brand_CartNum,brand_BuyNum,brand_ViewPvUser,brand_ViewFavUser,brand_ViewCartUser,brand_ReBuyUser,brand_ReBuyNum,brand_ReBuyUserRate,brand_ReBuyNumRate,brand_AverageReBuyTimeGap,brand_PvToBuyRate,brand_FavToBuyRate,brand_CartToBuyRate,brand_AverageTimesFromPvToBuy,brand_AverageTimesFromFavToBuy,brand_AverageTimesFromCartToBuy,brand_AverageOtherNumFromPvToBuy,brand_AverageOtherNumFromFavToBuy,brand_AverageOtherNumFromCartToBuy,brand_AverageOtherNumFromBuyToBuy,brand_AverageOtherTimesFromPvToBuy,brand_AverageOtherTimesFromFavToBuy,brand_AverageOtherTimesFromCartToBuy,brand_AverageOtherTimesFromBuyToBuy,brand_AveragePvToBuyTime,brand_AverageFavToBuyTime,brand_AverageCartToBuyTime,brand_CateAveragePvToBuyTime,brand_CateAverageFavToBuyTime,brand_CateAverageCartToBuyTime,brand_AverageBrandViewTime,brand_AverageCateViewTime,brand_FraudUserNum,brand_FraudBuyNum,brand_FraudUserRate,brand_FraudNumRate,brand_AverageReBuyBrandViewTime,brand_AverageReBuyCateViewTime
343886,487,482,17,55,73,1844,18,66,81,409,13,41,8,8,0.1095890410958904,1.0,41377.5,0.15145228215767634,4.294117647058823,1.3272727272727274,7.7534246575342465,0.0547945205479452,0.2191780821917808,1.2876712328767124,0.0273972602739726,0.0410958904109589,0.0,3.506849315068493,0.0273972602739726,0.0410958904109589,0.0,25735.72602739726,818.1506849315068,12387.410958904109,97949.76712328767,13316.917808219177,23025.04109589041,207.16438356164383,333.1506849315069,5,5,0.01016260162601626,1.0,160.5,160.5
147875,1337,1324,37,93,85,4058,41,111,89,1239,33,71,3,4,0.03529411764705882,1.3333333333333333,12051.333333333334,0.06419939577039276,2.2972972972972974,0.9139784946236559,9.117647058823529,0.07058823529411765,0.32941176470588235,1.188235294117647,0.058823529411764705,0.023529411764705882,0.011764705882352941,3.4,0.058823529411764705,0.023529411764705882,0.011764705882352941,92761.28235294118,2155.705882352941,54356.211764705884,164624.8705882353,-9453.870588235293,54361.07058823529,311.7176470588235,420.2823529411765,3,5,0.002238805970149254,1.6666666666666667,165.66666666666666,165.66666666666666
337365,3016,3012,78,125,45,7061,80,125,49,2967,69,111,4,4,0.08888888888888889,1.0,79906.5,0.014940239043824702,0.5769230769230769,0.36,10.933333333333334,0.17777777777777778,0.2222222222222222,1.8222222222222222,0.13333333333333333,0.15555555555555556,0.044444444444444446,5.133333333333334,0.13333333333333333,0.15555555555555556,0.044444444444444446,55158.933333333334,1255.2,-9531.666666666666,159269.11111111112,27132.62222222222,18321.911111111112,350.6,517.4444444444445,1,1,0.00033145508783559825,1.0,392.0,531.0
9678,57,56,0,5,4,106,0,5,4,52,0,4,0,0,0,0,0,0.07142857142857142,0,0.8,3.5,0.0,0.25,3.75,0.0,0.0,0.25,5.5,0.0,0.0,0.25,10094.25,0.0,652.0,113084.25,0.0,652.0,139.5,504.0,0,0,0,0,0,0
459762,17544,17530,856,937,200,56131,882,961,214,17330,823,873,13,14,0.065,1.0769230769230769,36661.153846153844,0.011409013120365089,0.2336448598130841,0.21344717182497333,12.26,0.18,0.315,0.695,0.02,0.055,0.025,1.745,0.02,0.055,0.025,158649.055,13157.955,59236.34,188575.61,20060.82,62804.795,395.335,442.765,4,4,0.00022794620469569182,1.0,295.53846153846155,387.0769230769231
283202,70,69,1,6,4,167,1,6,5,65,1,4,1,1,0.25,1.0,19.0,0.057971014492753624,4.0,0.6666666666666666,4.0,0.0,0.5,1.75,0.0,0.25,0.25,5.0,0.0,0.25,0.25,31070.25,0.0,28086.5,31297.75,0.0,28117.0,133.75,409.75,0,0,0,0,41.0,146.0
203877,604,601,18,48,25,1554,18,49,29,576,18,42,3,4,0.12,1.3333333333333333,17282.333333333332,0.04159733777038269,1.3888888888888888,0.5208333333333334,6.0,0.0,0.24,1.92,0.08,0.24,0.04,5.76,0.08,0.28,0.04,87914.0,0.0,17054.84,186651.44,734.88,58430.92,144.72,283.2,0,0,0,0,66.33333333333333,82.33333333333333
76463,2089,2069,81,246,231,7204,89,273,258,1838,69,185,22,27,0.09523809523809523,1.2272727272727273,235331.81818181818,0.11164813919768003,2.8518518518518516,0.9390243902439024,6.554112554112554,0.05627705627705628,0.2597402597402597,1.4935064935064934,0.030303030303030304,0.13852813852813853,0.047619047619047616,4.83982683982684,0.03896103896103896,0.14285714285714285,0.05627705627705628,90135.07792207792,13425.91341991342,25447.761904761905,174296.97835497835,19834.78354978355,58690.181818181816,197.65800865800867,329.8787878787879,11,10,0.005238095238095238,0.9090909090909091,154.9090909090909,183.77272727272728
250078,2532,2522,163,357,264,12530,199,419,288,2258,138,278,18,24,0.06818181818181818,1.3333333333333333,8031.944444444444,0.10467882632831087,1.6196319018404908,0.7394957983193278,10.136363636363637,0.11363636363636363,0.32575757575757575,2.640151515151515,0.08333333333333333,0.26136363636363635,0.07196969696969698,7.96969696969697,0.09848484848484848,0.2727272727272727,0.07954545454545454,82354.4696969697,12852.825757575758,45873.11363636364,199892.08712121213,17710.10606060606,73303.59848484848,245.58712121212122,484.10227272727275,2,2,0.0007892659826361484,1.0,237.72222222222223,282.1666666666667
133429,2266,2255,109,179,67,6026,114,185,77,2188,100,158,7,10,0.1044776119402985,1.4285714285714286,51037.142857142855,0.029711751662971176,0.6146788990825688,0.3743016759776536,8.582089552238806,0.1044776119402985,0.2835820895522388,2.4776119402985075,0.08955223880597014,0.22388059701492538,0.014925373134328358,6.313432835820896,0.08955223880597014,0.2537313432835821,0.014925373134328358,155250.50746268657,44038.86567164179,70214.01492537314,303797.2388059702,28505.02985074627,150745.62686567163,235.955223880597,412.07462686567163,1,1,0.0004411116012351125,1.0,324.85714285714283,328.7142857142857
